time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479846488,zlog_batch_write_batch_oident,10,25,1024,50,10,10334,103349
1479846490,zlog_batch_write_batch_oident,10,25,1024,50,10,10300,103004
1479846492,zlog_batch_write_batch_oident,10,25,1024,50,10,10275,102754
1479846494,zlog_batch_write_batch_oident,10,25,1024,50,10,10315,103154
1479846496,zlog_batch_write_batch_oident,10,25,1024,50,10,10078,100789
1479846498,zlog_batch_write_batch_oident,10,25,1024,50,10,10185,101854
1479846500,zlog_batch_write_batch_oident,10,25,1024,50,10,10384,103844
1479846502,zlog_batch_write_batch_oident,10,25,1024,50,10,8239,82390
1479846504,zlog_batch_write_batch_oident,10,25,1024,50,10,10107,101073
1479846506,zlog_batch_write_batch_oident,10,25,1024,50,10,10426,104268
1479846508,zlog_batch_write_batch_oident,10,25,1024,50,10,7965,79655
1479846510,zlog_batch_write_batch_oident,10,25,1024,50,10,10303,103033
1479846512,zlog_batch_write_batch_oident,10,25,1024,50,10,10150,101508
1479846514,zlog_batch_write_batch_oident,10,25,1024,50,10,9120,91204
1479846516,zlog_batch_write_batch_oident,10,25,1024,50,10,9573,95739
1479846518,zlog_batch_write_batch_oident,10,25,1024,50,10,10096,100969
1479846520,zlog_batch_write_batch_oident,10,25,1024,50,10,9501,95014
1479846522,zlog_batch_write_batch_oident,10,25,1024,50,10,10397,103976
1479846524,zlog_batch_write_batch_oident,10,25,1024,50,10,10261,102613
1479846526,zlog_batch_write_batch_oident,10,25,1024,50,10,9793,97934
1479846528,zlog_batch_write_batch_oident,10,25,1024,50,10,10349,103494
1479846530,zlog_batch_write_batch_oident,10,25,1024,50,10,9927,99279
1479846532,zlog_batch_write_batch_oident,10,25,1024,50,10,9067,90679
1479846534,zlog_batch_write_batch_oident,10,25,1024,50,10,10120,101204
1479846536,zlog_batch_write_batch_oident,10,25,1024,50,10,7216,72160
1479846538,zlog_batch_write_batch_oident,10,25,1024,50,10,10303,103039
1479846540,zlog_batch_write_batch_oident,10,25,1024,50,10,9283,92834
1479846542,zlog_batch_write_batch_oident,10,25,1024,50,10,9419,94194
1479846544,zlog_batch_write_batch_oident,10,25,1024,50,10,10041,100419
1479846546,zlog_batch_write_batch_oident,10,25,1024,50,10,10029,100294
1479846548,zlog_batch_write_batch_oident,10,25,1024,50,10,9326,93268
1479846550,zlog_batch_write_batch_oident,10,25,1024,50,10,9748,97488
1479846552,zlog_batch_write_batch_oident,10,25,1024,50,10,9920,99204
1479846554,zlog_batch_write_batch_oident,10,25,1024,50,10,8401,84015
1479846556,zlog_batch_write_batch_oident,10,25,1024,50,10,9843,98434
1479846558,zlog_batch_write_batch_oident,10,25,1024,50,10,10117,101174
1479846560,zlog_batch_write_batch_oident,10,25,1024,50,10,9274,92744
1479846562,zlog_batch_write_batch_oident,10,25,1024,50,10,9936,99369
1479846564,zlog_batch_write_batch_oident,10,25,1024,50,10,10236,102369
1479846566,zlog_batch_write_batch_oident,10,25,1024,50,10,9432,94324
1479846568,zlog_batch_write_batch_oident,10,25,1024,50,10,10314,103148
1479846570,zlog_batch_write_batch_oident,10,25,1024,50,10,10216,102164
1479846572,zlog_batch_write_batch_oident,10,25,1024,50,10,8322,83225
1479846574,zlog_batch_write_batch_oident,10,25,1024,50,10,9989,99894
1479846576,zlog_batch_write_batch_oident,10,25,1024,50,10,10120,101203
1479846578,zlog_batch_write_batch_oident,10,25,1024,50,10,9657,96574
1479846580,zlog_batch_write_batch_oident,10,25,1024,50,10,10398,103989
1479846582,zlog_batch_write_batch_oident,10,25,1024,50,10,9133,91339
1479846584,zlog_batch_write_batch_oident,10,25,1024,50,10,8277,82770
1479846586,zlog_batch_write_batch_oident,10,25,1024,50,10,10394,103944
1479846588,zlog_batch_write_batch_oident,10,25,1024,50,10,10319,103194
1479846590,zlog_batch_write_batch_oident,10,25,1024,50,10,10058,100584
1479846592,zlog_batch_write_batch_oident,10,25,1024,50,10,10505,105054
1479846594,zlog_batch_write_batch_oident,10,25,1024,50,10,10253,102539
1479846596,zlog_batch_write_batch_oident,10,25,1024,50,10,9838,98389
1479846598,zlog_batch_write_batch_oident,10,25,1024,50,10,10198,101984
1479846600,zlog_batch_write_batch_oident,10,25,1024,50,10,9311,93114
1479846602,zlog_batch_write_batch_oident,10,25,1024,50,10,10101,101016
1479846604,zlog_batch_write_batch_oident,10,25,1024,50,10,10257,102579
1479846606,zlog_batch_write_batch_oident,10,25,1024,50,10,9142,91429
1479846608,zlog_batch_write_batch_oident,10,25,1024,50,10,8908,89084
1479846610,zlog_batch_write_batch_oident,10,25,1024,50,10,10134,101344
1479846612,zlog_batch_write_batch_oident,10,25,1024,50,10,9644,96444
1479846614,zlog_batch_write_batch_oident,10,25,1024,50,10,9540,95400
