time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479846080,zlog_batch_write_batch,10,25,1024,50,10,9243,92435
1479846082,zlog_batch_write_batch,10,25,1024,50,10,10624,106247
1479846084,zlog_batch_write_batch,10,25,1024,50,10,11200,112008
1479846086,zlog_batch_write_batch,10,25,1024,50,10,9240,92409
1479846088,zlog_batch_write_batch,10,25,1024,50,10,8040,80400
1479846090,zlog_batch_write_batch,10,25,1024,50,10,11098,110982
1479846092,zlog_batch_write_batch,10,25,1024,50,10,10204,102043
1479846094,zlog_batch_write_batch,10,25,1024,50,10,10592,105929
1479846096,zlog_batch_write_batch,10,25,1024,50,10,10300,103004
1479846098,zlog_batch_write_batch,10,25,1024,50,10,10593,105934
1479846100,zlog_batch_write_batch,10,25,1024,50,10,9686,96863
1479846102,zlog_batch_write_batch,10,25,1024,50,10,8085,80850
1479846104,zlog_batch_write_batch,10,25,1024,50,10,9473,94735
1479846106,zlog_batch_write_batch,10,25,1024,50,10,10171,101718
1479846108,zlog_batch_write_batch,10,25,1024,50,10,11078,110781
1479846110,zlog_batch_write_batch,10,25,1024,50,10,8502,85024
1479846112,zlog_batch_write_batch,10,25,1024,50,10,10662,106624
1479846114,zlog_batch_write_batch,10,25,1024,50,10,10399,103994
1479846116,zlog_batch_write_batch,10,25,1024,50,10,6743,67436
1479846118,zlog_batch_write_batch,10,25,1024,50,10,9913,99134
1479846120,zlog_batch_write_batch,10,25,1024,50,10,9628,96284
1479846122,zlog_batch_write_batch,10,25,1024,50,10,8961,89610
1479846124,zlog_batch_write_batch,10,25,1024,50,10,11143,111434
1479846126,zlog_batch_write_batch,10,25,1024,50,10,9134,91345
1479846128,zlog_batch_write_batch,10,25,1024,50,10,10151,101514
1479846130,zlog_batch_write_batch,10,25,1024,50,10,9097,90970
1479846132,zlog_batch_write_batch,10,25,1024,50,10,8836,88365
1479846134,zlog_batch_write_batch,10,25,1024,50,10,11121,111219
1479846136,zlog_batch_write_batch,10,25,1024,50,10,10574,105747
1479846138,zlog_batch_write_batch,10,25,1024,50,10,9972,99729
1479846140,zlog_batch_write_batch,10,25,1024,50,10,10483,104834
1479846142,zlog_batch_write_batch,10,25,1024,50,10,9658,96584
1479846144,zlog_batch_write_batch,10,25,1024,50,10,7157,71571
1479846146,zlog_batch_write_batch,10,25,1024,50,10,10901,109018
1479846148,zlog_batch_write_batch,10,25,1024,50,10,8728,87280
1479846150,zlog_batch_write_batch,10,25,1024,50,10,10026,100264
1479846152,zlog_batch_write_batch,10,25,1024,50,10,9276,92769
1479846154,zlog_batch_write_batch,10,25,1024,50,10,9513,95139
1479846156,zlog_batch_write_batch,10,25,1024,50,10,10316,103163
1479846158,zlog_batch_write_batch,10,25,1024,50,10,10560,105601
1479846160,zlog_batch_write_batch,10,25,1024,50,10,10641,106416
1479846162,zlog_batch_write_batch,10,25,1024,50,10,10088,100889
1479846164,zlog_batch_write_batch,10,25,1024,50,10,10977,109779
1479846166,zlog_batch_write_batch,10,25,1024,50,10,10909,109094
1479846168,zlog_batch_write_batch,10,25,1024,50,10,8995,89955
1479846170,zlog_batch_write_batch,10,25,1024,50,10,8737,87370
1479846172,zlog_batch_write_batch,10,25,1024,50,10,8619,86195
1479846174,zlog_batch_write_batch,10,25,1024,50,10,10472,104724
1479846176,zlog_batch_write_batch,10,25,1024,50,10,8789,87895
1479846178,zlog_batch_write_batch,10,25,1024,50,10,11189,111894
1479846180,zlog_batch_write_batch,10,25,1024,50,10,7222,72226
1479846182,zlog_batch_write_batch,10,25,1024,50,10,11137,111373
1479846184,zlog_batch_write_batch,10,25,1024,50,10,11096,110968
1479846186,zlog_batch_write_batch,10,25,1024,50,10,8402,84020
1479846188,zlog_batch_write_batch,10,25,1024,50,10,10147,101479
1479846190,zlog_batch_write_batch,10,25,1024,50,10,10376,103769
1479846192,zlog_batch_write_batch,10,25,1024,50,10,10842,108423
