time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479844396,zlog_batch_write_simple,0,25,1024,50,10,3894,38947
1479844398,zlog_batch_write_simple,0,25,1024,50,10,3915,39157
1479844400,zlog_batch_write_simple,0,25,1024,50,10,3913,39132
1479844402,zlog_batch_write_simple,0,25,1024,50,10,3828,38282
1479844404,zlog_batch_write_simple,0,25,1024,50,10,3953,39533
1479844406,zlog_batch_write_simple,0,25,1024,50,10,3904,39042
1479844408,zlog_batch_write_simple,0,25,1024,50,10,3949,39497
1479844410,zlog_batch_write_simple,0,25,1024,50,10,3942,39427
1479844412,zlog_batch_write_simple,0,25,1024,50,10,3935,39357
1479844414,zlog_batch_write_simple,0,25,1024,50,10,3833,38337
1479844416,zlog_batch_write_simple,0,25,1024,50,10,3918,39187
1479844418,zlog_batch_write_simple,0,25,1024,50,10,3917,39177
1479844420,zlog_batch_write_simple,0,25,1024,50,10,3911,39117
1479844422,zlog_batch_write_simple,0,25,1024,50,10,3729,37297
1479844424,zlog_batch_write_simple,0,25,1024,50,10,3849,38492
1479844426,zlog_batch_write_simple,0,25,1024,50,10,3898,38987
1479844428,zlog_batch_write_simple,0,25,1024,50,10,3871,38717
1479844430,zlog_batch_write_simple,0,25,1024,50,10,3858,38582
1479844432,zlog_batch_write_simple,0,25,1024,50,10,3825,38252
1479844434,zlog_batch_write_simple,0,25,1024,50,10,3647,36477
1479844436,zlog_batch_write_simple,0,25,1024,50,10,3845,38457
1479844438,zlog_batch_write_simple,0,25,1024,50,10,3902,39022
1479844440,zlog_batch_write_simple,0,25,1024,50,10,3861,38617
1479844442,zlog_batch_write_simple,0,25,1024,50,10,3846,38467
1479844444,zlog_batch_write_simple,0,25,1024,50,10,3939,39392
1479844446,zlog_batch_write_simple,0,25,1024,50,10,3941,39417
1479844448,zlog_batch_write_simple,0,25,1024,50,10,3901,39018
1479844450,zlog_batch_write_simple,0,25,1024,50,10,3945,39457
1479844452,zlog_batch_write_simple,0,25,1024,50,10,3893,38939
1479844454,zlog_batch_write_simple,0,25,1024,50,10,3841,38412
1479844456,zlog_batch_write_simple,0,25,1024,50,10,3804,38047
1479844458,zlog_batch_write_simple,0,25,1024,50,10,3898,38987
1479844460,zlog_batch_write_simple,0,25,1024,50,10,3863,38632
1479844462,zlog_batch_write_simple,0,25,1024,50,10,3756,37568
1479844464,zlog_batch_write_simple,0,25,1024,50,10,3878,38782
1479844466,zlog_batch_write_simple,0,25,1024,50,10,3890,38907
1479844468,zlog_batch_write_simple,0,25,1024,50,10,3857,38572
1479844470,zlog_batch_write_simple,0,25,1024,50,10,3838,38380
1479844472,zlog_batch_write_simple,0,25,1024,50,10,3830,38302
1479844474,zlog_batch_write_simple,0,25,1024,50,10,3970,39702
1479844476,zlog_batch_write_simple,0,25,1024,50,10,3885,38856
1479844478,zlog_batch_write_simple,0,25,1024,50,10,3869,38692
1479844480,zlog_batch_write_simple,0,25,1024,50,10,3810,38107
1479844482,zlog_batch_write_simple,0,25,1024,50,10,3949,39492
1479844484,zlog_batch_write_simple,0,25,1024,50,10,3907,39076
1479844486,zlog_batch_write_simple,0,25,1024,50,10,3894,38947
1479844488,zlog_batch_write_simple,0,25,1024,50,10,3769,37698
1479844490,zlog_batch_write_simple,0,25,1024,50,10,3895,38952
1479844492,zlog_batch_write_simple,0,25,1024,50,10,3882,38822
1479844494,zlog_batch_write_simple,0,25,1024,50,10,3915,39152
1479844496,zlog_batch_write_simple,0,25,1024,50,10,3894,38942
1479844498,zlog_batch_write_simple,0,25,1024,50,10,3864,38642
1479844500,zlog_batch_write_simple,0,25,1024,50,10,3916,39167
1479844502,zlog_batch_write_simple,0,25,1024,50,10,3929,39297
1479844504,zlog_batch_write_simple,0,25,1024,50,10,3885,38857
1479844506,zlog_batch_write_simple,0,25,1024,50,10,3842,38422
1479844508,zlog_batch_write_simple,0,25,1024,50,10,3878,38788
