time,opname,outlier,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479849686,zlog_batch_write_batch,10000,25,1024,50,10,5549,55492
1479849688,zlog_batch_write_batch,10000,25,1024,50,10,7939,79399
1479849690,zlog_batch_write_batch,10000,25,1024,50,10,7918,79180
1479849692,zlog_batch_write_batch,10000,25,1024,50,10,8078,80780
1479849694,zlog_batch_write_batch,10000,25,1024,50,10,8086,80865
1479849696,zlog_batch_write_batch,10000,25,1024,50,10,7826,78265
1479849698,zlog_batch_write_batch,10000,25,1024,50,10,7993,79930
1479849700,zlog_batch_write_batch,10000,25,1024,50,10,8033,80330
1479849702,zlog_batch_write_batch,10000,25,1024,50,10,7960,79605
1479849704,zlog_batch_write_batch,10000,25,1024,50,10,7903,79030
1479849706,zlog_batch_write_batch,10000,25,1024,50,10,7845,78453
1479849708,zlog_batch_write_batch,10000,25,1024,50,10,7906,79060
1479849710,zlog_batch_write_batch,10000,25,1024,50,10,7952,79523
1479849712,zlog_batch_write_batch,10000,25,1024,50,10,7005,70050
1479849714,zlog_batch_write_batch,10000,25,1024,50,10,7803,78035
1479849716,zlog_batch_write_batch,10000,25,1024,50,10,7998,79980
1479849718,zlog_batch_write_batch,10000,25,1024,50,10,7885,78850
1479849720,zlog_batch_write_batch,10000,25,1024,50,10,7967,79670
1479849722,zlog_batch_write_batch,10000,25,1024,50,10,7918,79184
1479849724,zlog_batch_write_batch,10000,25,1024,50,10,7612,76126
1479849726,zlog_batch_write_batch,10000,25,1024,50,10,7867,78670
1479849728,zlog_batch_write_batch,10000,25,1024,50,10,7911,79115
1479849730,zlog_batch_write_batch,10000,25,1024,50,10,7885,78855
1479849732,zlog_batch_write_batch,10000,25,1024,50,10,7884,78845
1479849734,zlog_batch_write_batch,10000,25,1024,50,10,7962,79620
1479849736,zlog_batch_write_batch,10000,25,1024,50,10,7920,79200
1479849738,zlog_batch_write_batch,10000,25,1024,50,10,7896,78964
1479849740,zlog_batch_write_batch,10000,25,1024,50,10,7965,79655
1479849742,zlog_batch_write_batch,10000,25,1024,50,10,7811,78115
1479849744,zlog_batch_write_batch,10000,25,1024,50,10,8012,80120
1479849746,zlog_batch_write_batch,10000,25,1024,50,10,7843,78436
1479849748,zlog_batch_write_batch,10000,25,1024,50,10,7889,78895
1479849750,zlog_batch_write_batch,10000,25,1024,50,10,7834,78340
1479849752,zlog_batch_write_batch,10000,25,1024,50,10,6713,67136
1479849754,zlog_batch_write_batch,10000,25,1024,50,10,7768,77680
1479849756,zlog_batch_write_batch,10000,25,1024,50,10,7693,76935
1479849758,zlog_batch_write_batch,10000,25,1024,50,10,7418,74185
1479849760,zlog_batch_write_batch,10000,25,1024,50,10,7923,79230
1479849762,zlog_batch_write_batch,10000,25,1024,50,10,7593,75939
1479849764,zlog_batch_write_batch,10000,25,1024,50,10,7881,78815
1479849766,zlog_batch_write_batch,10000,25,1024,50,10,7798,77980
1479849768,zlog_batch_write_batch,10000,25,1024,50,10,6223,62231
1479849770,zlog_batch_write_batch,10000,25,1024,50,10,7833,78335
1479849772,zlog_batch_write_batch,10000,25,1024,50,10,7883,78830
1479849774,zlog_batch_write_batch,10000,25,1024,50,10,7444,74449
1479849776,zlog_batch_write_batch,10000,25,1024,50,10,7741,77415
1479849778,zlog_batch_write_batch,10000,25,1024,50,10,7717,77175
1479849780,zlog_batch_write_batch,10000,25,1024,50,10,7078,70786
1479849782,zlog_batch_write_batch,10000,25,1024,50,10,7872,78725
1479849784,zlog_batch_write_batch,10000,25,1024,50,10,7840,78400
1479849786,zlog_batch_write_batch,10000,25,1024,50,10,6715,67151
1479849788,zlog_batch_write_batch,10000,25,1024,50,10,7821,78216
1479849790,zlog_batch_write_batch,10000,25,1024,50,10,7376,73769
1479849792,zlog_batch_write_batch,10000,25,1024,50,10,7800,78005
1479849794,zlog_batch_write_batch,10000,25,1024,50,10,7814,78145
1479849796,zlog_batch_write_batch,10000,25,1024,50,10,7351,73510
1479849798,zlog_batch_write_batch,10000,25,1024,50,10,7927,79270
1479849800,zlog_batch_write_batch,10000,25,1024,50,10,7973,79735
1479849802,zlog_batch_write_batch,10000,25,1024,50,10,7819,78190
1479849804,zlog_batch_write_batch,10000,25,1024,50,10,7836,78365
1479849806,zlog_batch_write_batch,10000,25,1024,50,10,7826,78265
1479849808,zlog_batch_write_batch,10000,25,1024,50,10,7571,75710
1479849810,zlog_batch_write_batch,10000,25,1024,50,10,7769,77690
1479849812,zlog_batch_write_batch,10000,25,1024,50,10,7860,78600
1479849814,zlog_batch_write_batch,10000,25,1024,50,10,7777,77771
1479849816,zlog_batch_write_batch,10000,25,1024,50,10,7780,77800
1479849818,zlog_batch_write_batch,10000,25,1024,50,10,6995,69951
1479849820,zlog_batch_write_batch,10000,25,1024,50,10,7792,77920
1479849822,zlog_batch_write_batch,10000,25,1024,50,10,7803,78030
1479849824,zlog_batch_write_batch,10000,25,1024,50,10,7758,77585
1479849826,zlog_batch_write_batch,10000,25,1024,50,10,7754,77540
1479849828,zlog_batch_write_batch,10000,25,1024,50,10,7687,76870
1479849830,zlog_batch_write_batch,10000,25,1024,50,10,7038,70389
1479849832,zlog_batch_write_batch,10000,25,1024,50,10,7756,77565
1479849834,zlog_batch_write_batch,10000,25,1024,50,10,7763,77636
1479849836,zlog_batch_write_batch,10000,25,1024,50,10,7608,76080
1479849838,zlog_batch_write_batch,10000,25,1024,50,10,7800,78000
1479849840,zlog_batch_write_batch,10000,25,1024,50,10,7794,77940
1479849842,zlog_batch_write_batch,10000,25,1024,50,10,7748,77480
1479849844,zlog_batch_write_batch,10000,25,1024,50,10,7703,77030
1479849846,zlog_batch_write_batch,10000,25,1024,50,10,6791,67916
1479849848,zlog_batch_write_batch,10000,25,1024,50,10,7638,76381
1479849850,zlog_batch_write_batch,10000,25,1024,50,10,7711,77115
1479849852,zlog_batch_write_batch,10000,25,1024,50,10,7688,76885
1479849854,zlog_batch_write_batch,10000,25,1024,50,10,7798,77980
1479849856,zlog_batch_write_batch,10000,25,1024,50,10,7688,76885
1479849858,zlog_batch_write_batch,10000,25,1024,50,10,7604,76046
1479849860,zlog_batch_write_batch,10000,25,1024,50,10,7817,78176
1479849862,zlog_batch_write_batch,10000,25,1024,50,10,7892,78925
1479849864,zlog_batch_write_batch,10000,25,1024,50,10,7748,77481
1479849866,zlog_batch_write_batch,10000,25,1024,50,10,7634,76340
1479849868,zlog_batch_write_batch,10000,25,1024,50,10,7777,77776
1479849870,zlog_batch_write_batch,10000,25,1024,50,10,7675,76750
1479849872,zlog_batch_write_batch,10000,25,1024,50,10,7665,76650
1479849874,zlog_batch_write_batch,10000,25,1024,50,10,7594,75945
1479849876,zlog_batch_write_batch,10000,25,1024,50,10,7700,77001
1479849878,zlog_batch_write_batch,10000,25,1024,50,10,7791,77910
1479849880,zlog_batch_write_batch,10000,25,1024,50,10,7724,77240
1479849882,zlog_batch_write_batch,10000,25,1024,50,10,7613,76131
1479849884,zlog_batch_write_batch,10000,25,1024,50,10,7723,77230
1479849886,zlog_batch_write_batch,10000,25,1024,50,10,7402,74020
1479849888,zlog_batch_write_batch,10000,25,1024,50,10,7105,71051
1479849890,zlog_batch_write_batch,10000,25,1024,50,10,7639,76396
1479849892,zlog_batch_write_batch,10000,25,1024,50,10,7547,75470
1479849894,zlog_batch_write_batch,10000,25,1024,50,10,7668,76686
1479849896,zlog_batch_write_batch,10000,25,1024,50,10,7589,75891
1479849898,zlog_batch_write_batch,10000,25,1024,50,10,7604,76048
1479849900,zlog_batch_write_batch,10000,25,1024,50,10,7576,75765
1479849902,zlog_batch_write_batch,10000,25,1024,50,10,7570,75706
1479849904,zlog_batch_write_batch,10000,25,1024,50,10,7554,75545
1479849906,zlog_batch_write_batch,10000,25,1024,50,10,7559,75596
