time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479352568,zlog_batch_write_batch,20,1024,20,5,0,0
1479352570,zlog_batch_write_batch,20,1024,20,5,0,0
1479352572,zlog_batch_write_batch,20,1024,20,5,0,0
1479352574,zlog_batch_write_batch,20,1024,20,5,0,0
1479352576,zlog_batch_write_batch,20,1024,20,5,0,0
1479352578,zlog_batch_write_batch,20,1024,20,5,2958,14791
1479352580,zlog_batch_write_batch,20,1024,20,5,3262,16311
1479352582,zlog_batch_write_batch,20,1024,20,5,3301,16509
1479352584,zlog_batch_write_batch,20,1024,20,5,3290,16454
1479352586,zlog_batch_write_batch,20,1024,20,5,7115,35575
1479352588,zlog_batch_write_batch,20,1024,20,5,12229,61149
1479352590,zlog_batch_write_batch,20,1024,20,5,8145,40725
1479352592,zlog_batch_write_batch,20,1024,20,5,12120,60601
1479352594,zlog_batch_write_batch,20,1024,20,5,10894,54474
1479352596,zlog_batch_write_batch,20,1024,20,5,12115,60576
1479352598,zlog_batch_write_batch,20,1024,20,5,12373,61866
1479352600,zlog_batch_write_batch,20,1024,20,5,12426,62131
1479352602,zlog_batch_write_batch,20,1024,20,5,12367,61836
1479352604,zlog_batch_write_batch,20,1024,20,5,12337,61686
1479352606,zlog_batch_write_batch,20,1024,20,5,12569,62846
1479352608,zlog_batch_write_batch,20,1024,20,5,12553,62766
1479352610,zlog_batch_write_batch,20,1024,20,5,12406,62034
1479352612,zlog_batch_write_batch,20,1024,20,5,12509,62545
1479352614,zlog_batch_write_batch,20,1024,20,5,12721,63606
1479352616,zlog_batch_write_batch,20,1024,20,5,12415,62076
1479352618,zlog_batch_write_batch,20,1024,20,5,12641,63208
1479352620,zlog_batch_write_batch,20,1024,20,5,12672,63361
1479352622,zlog_batch_write_batch,20,1024,20,5,12550,62751
1479352624,zlog_batch_write_batch,20,1024,20,5,12504,62521
1479352626,zlog_batch_write_batch,20,1024,20,5,12457,62289
1479352628,zlog_batch_write_batch,20,1024,20,5,12371,61856
1479352630,zlog_batch_write_batch,20,1024,20,5,12560,62804
1479352632,zlog_batch_write_batch,20,1024,20,5,11492,57461
1479352634,zlog_batch_write_batch,20,1024,20,5,12433,62166
1479352636,zlog_batch_write_batch,20,1024,20,5,12452,62261
1479352638,zlog_batch_write_batch,20,1024,20,5,12252,61264
1479352640,zlog_batch_write_batch,20,1024,20,5,12414,62074
1479352642,zlog_batch_write_batch,20,1024,20,5,12641,63209
1479352644,zlog_batch_write_batch,20,1024,20,5,12315,61578
1479352646,zlog_batch_write_batch,20,1024,20,5,12401,62006
1479352648,zlog_batch_write_batch,20,1024,20,5,12533,62666
1479352650,zlog_batch_write_batch,20,1024,20,5,12295,61475
1479352652,zlog_batch_write_batch,20,1024,20,5,12669,63348
1479352654,zlog_batch_write_batch,20,1024,20,5,12492,62461
1479352656,zlog_batch_write_batch,20,1024,20,5,12493,62466
1479352658,zlog_batch_write_batch,20,1024,20,5,12402,62011
1479352660,zlog_batch_write_batch,20,1024,20,5,12460,62301
1479352662,zlog_batch_write_batch,20,1024,20,5,12143,60718
1479352664,zlog_batch_write_batch,20,1024,20,5,12443,62219
1479352666,zlog_batch_write_batch,20,1024,20,5,12348,61741
1479352668,zlog_batch_write_batch,20,1024,20,5,12431,62159
1479352670,zlog_batch_write_batch,20,1024,20,5,12433,62169
1479352672,zlog_batch_write_batch,20,1024,20,5,12337,61689
1479352674,zlog_batch_write_batch,20,1024,20,5,12483,62419
1479352676,zlog_batch_write_batch,20,1024,20,5,11627,58136
1479352678,zlog_batch_write_batch,20,1024,20,5,12477,62389
1479352680,zlog_batch_write_batch,20,1024,20,5,12485,62426
1479352682,zlog_batch_write_batch,20,1024,20,5,12372,61863
1479352684,zlog_batch_write_batch,20,1024,20,5,12464,62324
1479352686,zlog_batch_write_batch,20,1024,20,5,12525,62629
1479352688,zlog_batch_write_batch,20,1024,20,5,12430,62154
1479352690,zlog_batch_write_batch,20,1024,20,5,12475,62379
1479352692,zlog_batch_write_batch,20,1024,20,5,12490,62451
1479352694,zlog_batch_write_batch,20,1024,20,5,12292,61461
1479352696,zlog_batch_write_batch,20,1024,20,5,12392,61961
1479352698,zlog_batch_write_batch,20,1024,20,5,12161,60807
1479352700,zlog_batch_write_batch,20,1024,20,5,12378,61892
1479352702,zlog_batch_write_batch,20,1024,20,5,12451,62256
1479352704,zlog_batch_write_batch,20,1024,20,5,12334,61671
1479352706,zlog_batch_write_batch,20,1024,20,5,12548,62743
1479352708,zlog_batch_write_batch,20,1024,20,5,12728,63641
1479352710,zlog_batch_write_batch,20,1024,20,5,12530,62654
1479352712,zlog_batch_write_batch,20,1024,20,5,12635,63176
1479352714,zlog_batch_write_batch,20,1024,20,5,11895,59477
1479352716,zlog_batch_write_batch,20,1024,20,5,12552,62762
1479352718,zlog_batch_write_batch,20,1024,20,5,12697,63486
1479352720,zlog_batch_write_batch,20,1024,20,5,12389,61949
1479352722,zlog_batch_write_batch,20,1024,20,5,12410,62051
1479352724,zlog_batch_write_batch,20,1024,20,5,11957,59789
1479352726,zlog_batch_write_batch,20,1024,20,5,12183,60916
1479352728,zlog_batch_write_batch,20,1024,20,5,12545,62726
1479352730,zlog_batch_write_batch,20,1024,20,5,12416,62083
1479352732,zlog_batch_write_batch,20,1024,20,5,12488,62444
1479352734,zlog_batch_write_batch,20,1024,20,5,12251,61259
1479352736,zlog_batch_write_batch,20,1024,20,5,12130,60650
1479352738,zlog_batch_write_batch,20,1024,20,5,12390,61951
1479352740,zlog_batch_write_batch,20,1024,20,5,12474,62371
1479352742,zlog_batch_write_batch,20,1024,20,5,12454,62271
1479352744,zlog_batch_write_batch,20,1024,20,5,12611,63056
1479352746,zlog_batch_write_batch,20,1024,20,5,12520,62601
1479352748,zlog_batch_write_batch,20,1024,20,5,12343,61719
1479352750,zlog_batch_write_batch,20,1024,20,5,12303,61516
1479352752,zlog_batch_write_batch,20,1024,20,5,12240,61201
1479352754,zlog_batch_write_batch,20,1024,20,5,12122,60611
1479352756,zlog_batch_write_batch,20,1024,20,5,12386,61933
1479352758,zlog_batch_write_batch,20,1024,20,5,12374,61871
1479352760,zlog_batch_write_batch,20,1024,20,5,12445,62229
1479352762,zlog_batch_write_batch,20,1024,20,5,12667,63337
1479352764,zlog_batch_write_batch,20,1024,20,5,11316,56581
1479352766,zlog_batch_write_batch,20,1024,20,5,12625,63126
1479352768,zlog_batch_write_batch,20,1024,20,5,12631,63156
1479352770,zlog_batch_write_batch,20,1024,20,5,12153,60766
1479352772,zlog_batch_write_batch,20,1024,20,5,12511,62559
1479352774,zlog_batch_write_batch,20,1024,20,5,12237,61186
1479352776,zlog_batch_write_batch,20,1024,20,5,12347,61736
1479352778,zlog_batch_write_batch,20,1024,20,5,12446,62231
1479352780,zlog_batch_write_batch,20,1024,20,5,12056,60281
1479352782,zlog_batch_write_batch,20,1024,20,5,12459,62299
1479352784,zlog_batch_write_batch,20,1024,20,5,12398,61991
1479352786,zlog_batch_write_batch,20,1024,20,5,12450,62251
1479352788,zlog_batch_write_batch,20,1024,20,5,12616,63083
1479352790,zlog_batch_write_batch,20,1024,20,5,12502,62510
1479352792,zlog_batch_write_batch,20,1024,20,5,12551,62756
1479352794,zlog_batch_write_batch,20,1024,20,5,12532,62664
1479352796,zlog_batch_write_batch,20,1024,20,5,12209,61049
1479352798,zlog_batch_write_batch,20,1024,20,5,12320,61604
1479352800,zlog_batch_write_batch,20,1024,20,5,12353,61766
1479352802,zlog_batch_write_batch,20,1024,20,5,12143,60716
1479352804,zlog_batch_write_batch,20,1024,20,5,12570,62854
1479352806,zlog_batch_write_batch,20,1024,20,5,11927,59636
1479352808,zlog_batch_write_batch,20,1024,20,5,12119,60596
1479352810,zlog_batch_write_batch,20,1024,20,5,12499,62496
1479352812,zlog_batch_write_batch,20,1024,20,5,12393,61968
1479352814,zlog_batch_write_batch,20,1024,20,5,12244,61224
1479352816,zlog_batch_write_batch,20,1024,20,5,12498,62491
1479352818,zlog_batch_write_batch,20,1024,20,5,12420,62101
1479352820,zlog_batch_write_batch,20,1024,20,5,12506,62531
1479352822,zlog_batch_write_batch,20,1024,20,5,12470,62351
1479352824,zlog_batch_write_batch,20,1024,20,5,12319,61598
1479352826,zlog_batch_write_batch,20,1024,20,5,12631,63156
1479352828,zlog_batch_write_batch,20,1024,20,5,12504,62521
1479352830,zlog_batch_write_batch,20,1024,20,5,12597,62986
1479352832,zlog_batch_write_batch,20,1024,20,5,12500,62504
1479352834,zlog_batch_write_batch,20,1024,20,5,12419,62099
1479352836,zlog_batch_write_batch,20,1024,20,5,12189,60945
1479352838,zlog_batch_write_batch,20,1024,20,5,12153,60769
1479352840,zlog_batch_write_batch,20,1024,20,5,12182,60911
1479352842,zlog_batch_write_batch,20,1024,20,5,12128,60644
1479352844,zlog_batch_write_batch,20,1024,20,5,12336,61684
1479352846,zlog_batch_write_batch,20,1024,20,5,12206,61030
1479352848,zlog_batch_write_batch,20,1024,20,5,12364,61824
1479352850,zlog_batch_write_batch,20,1024,20,5,12506,62534
1479352852,zlog_batch_write_batch,20,1024,20,5,12293,61469
1479352854,zlog_batch_write_batch,20,1024,20,5,12818,64091
1479352856,zlog_batch_write_batch,20,1024,20,5,12391,61956
1479352858,zlog_batch_write_batch,20,1024,20,5,12481,62409
1479352860,zlog_batch_write_batch,20,1024,20,5,12426,62134
1479352862,zlog_batch_write_batch,20,1024,20,5,12385,61926
1479352864,zlog_batch_write_batch,20,1024,20,5,12376,61884
