time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479349920,zlog_batch_write_batch,10,1024,80,1,0,0
1479349922,zlog_batch_write_batch,10,1024,80,1,0,0
1479349924,zlog_batch_write_batch,10,1024,80,1,0,0
1479349926,zlog_batch_write_batch,10,1024,80,1,4939,4939
1479349928,zlog_batch_write_batch,10,1024,80,1,11683,11683
1479349930,zlog_batch_write_batch,10,1024,80,1,12212,12212
1479349932,zlog_batch_write_batch,10,1024,80,1,12282,12282
1479349934,zlog_batch_write_batch,10,1024,80,1,12366,12366
1479349936,zlog_batch_write_batch,10,1024,80,1,12272,12272
1479349938,zlog_batch_write_batch,10,1024,80,1,12246,12246
1479349940,zlog_batch_write_batch,10,1024,80,1,12224,12224
1479349942,zlog_batch_write_batch,10,1024,80,1,11921,11921
1479349944,zlog_batch_write_batch,10,1024,80,1,12222,12222
1479349946,zlog_batch_write_batch,10,1024,80,1,12422,12422
1479349948,zlog_batch_write_batch,10,1024,80,1,12169,12169
1479349950,zlog_batch_write_batch,10,1024,80,1,12044,12044
1479349952,zlog_batch_write_batch,10,1024,80,1,11912,11912
1479349954,zlog_batch_write_batch,10,1024,80,1,11872,11872
1479349956,zlog_batch_write_batch,10,1024,80,1,12129,12129
1479349958,zlog_batch_write_batch,10,1024,80,1,12133,12133
1479349960,zlog_batch_write_batch,10,1024,80,1,12208,12208
1479349962,zlog_batch_write_batch,10,1024,80,1,12204,12204
1479349964,zlog_batch_write_batch,10,1024,80,1,11888,11888
1479349966,zlog_batch_write_batch,10,1024,80,1,12512,12512
1479349968,zlog_batch_write_batch,10,1024,80,1,12114,12114
1479349970,zlog_batch_write_batch,10,1024,80,1,12418,12418
1479349972,zlog_batch_write_batch,10,1024,80,1,11792,11792
1479349974,zlog_batch_write_batch,10,1024,80,1,12477,12477
1479349976,zlog_batch_write_batch,10,1024,80,1,12227,12227
1479349978,zlog_batch_write_batch,10,1024,80,1,12224,12224
1479349980,zlog_batch_write_batch,10,1024,80,1,12399,12399
1479349982,zlog_batch_write_batch,10,1024,80,1,12586,12586
1479349984,zlog_batch_write_batch,10,1024,80,1,12277,12277
1479349986,zlog_batch_write_batch,10,1024,80,1,11823,11823
1479349988,zlog_batch_write_batch,10,1024,80,1,12108,12108
