time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479345646,zlog_batch_write_simple,10,1024,20,1,8509,8509
1479345648,zlog_batch_write_simple,10,1024,20,1,12066,12066
1479345650,zlog_batch_write_simple,10,1024,20,1,12559,12559
1479345652,zlog_batch_write_simple,10,1024,20,1,12299,12299
1479345654,zlog_batch_write_simple,10,1024,20,1,12292,12292
1479345656,zlog_batch_write_simple,10,1024,20,1,11843,11843
1479345658,zlog_batch_write_simple,10,1024,20,1,12328,12328
1479345660,zlog_batch_write_simple,10,1024,20,1,12415,12415
1479345662,zlog_batch_write_simple,10,1024,20,1,12202,12202
1479345664,zlog_batch_write_simple,10,1024,20,1,12147,12147
1479345666,zlog_batch_write_simple,10,1024,20,1,11983,11983
1479345668,zlog_batch_write_simple,10,1024,20,1,12247,12247
1479345670,zlog_batch_write_simple,10,1024,20,1,12321,12321
1479345672,zlog_batch_write_simple,10,1024,20,1,12491,12491
1479345674,zlog_batch_write_simple,10,1024,20,1,12260,12260
1479345676,zlog_batch_write_simple,10,1024,20,1,12496,12496
1479345678,zlog_batch_write_simple,10,1024,20,1,12389,12389
1479345680,zlog_batch_write_simple,10,1024,20,1,12315,12315
1479345682,zlog_batch_write_simple,10,1024,20,1,12333,12333
1479345684,zlog_batch_write_simple,10,1024,20,1,12403,12403
1479345686,zlog_batch_write_simple,10,1024,20,1,12324,12324
1479345688,zlog_batch_write_simple,10,1024,20,1,12489,12489
1479345690,zlog_batch_write_simple,10,1024,20,1,12293,12293
1479345692,zlog_batch_write_simple,10,1024,20,1,12296,12296
1479345694,zlog_batch_write_simple,10,1024,20,1,12328,12328
1479345696,zlog_batch_write_simple,10,1024,20,1,12417,12417
1479345698,zlog_batch_write_simple,10,1024,20,1,12429,12429
1479345700,zlog_batch_write_simple,10,1024,20,1,12298,12298
1479345702,zlog_batch_write_simple,10,1024,20,1,12566,12566
1479345704,zlog_batch_write_simple,10,1024,20,1,12177,12177
1479345706,zlog_batch_write_simple,10,1024,20,1,12473,12473
1479345708,zlog_batch_write_simple,10,1024,20,1,12456,12456
1479345710,zlog_batch_write_simple,10,1024,20,1,12553,12553
1479345712,zlog_batch_write_simple,10,1024,20,1,12624,12624
1479345714,zlog_batch_write_simple,10,1024,20,1,12198,12198
1479345716,zlog_batch_write_simple,10,1024,20,1,12624,12624
1479345718,zlog_batch_write_simple,10,1024,20,1,12193,12193
1479345720,zlog_batch_write_simple,10,1024,20,1,12387,12387
1479345722,zlog_batch_write_simple,10,1024,20,1,12471,12471
1479345724,zlog_batch_write_simple,10,1024,20,1,12181,12181
1479345726,zlog_batch_write_simple,10,1024,20,1,12772,12772
1479345728,zlog_batch_write_simple,10,1024,20,1,12636,12636
1479345730,zlog_batch_write_simple,10,1024,20,1,12291,12291
1479345732,zlog_batch_write_simple,10,1024,20,1,12203,12203
1479345734,zlog_batch_write_simple,10,1024,20,1,12600,12600
1479345736,zlog_batch_write_simple,10,1024,20,1,12272,12272
1479345738,zlog_batch_write_simple,10,1024,20,1,12385,12385
1479345740,zlog_batch_write_simple,10,1024,20,1,12082,12082
1479345742,zlog_batch_write_simple,10,1024,20,1,12302,12302
1479345744,zlog_batch_write_simple,10,1024,20,1,12448,12448
1479345746,zlog_batch_write_simple,10,1024,20,1,12476,12476
1479345748,zlog_batch_write_simple,10,1024,20,1,12182,12182
1479345750,zlog_batch_write_simple,10,1024,20,1,12297,12297
