time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479349619,zlog_batch_write_simple,10,1024,80,1,8125,8125
1479349621,zlog_batch_write_simple,10,1024,80,1,11873,11873
1479349623,zlog_batch_write_simple,10,1024,80,1,12378,12378
1479349625,zlog_batch_write_simple,10,1024,80,1,12055,12055
1479349627,zlog_batch_write_simple,10,1024,80,1,12361,12361
1479349629,zlog_batch_write_simple,10,1024,80,1,12345,12345
1479349631,zlog_batch_write_simple,10,1024,80,1,11845,11845
1479349633,zlog_batch_write_simple,10,1024,80,1,12107,12107
1479349635,zlog_batch_write_simple,10,1024,80,1,12176,12176
1479349637,zlog_batch_write_simple,10,1024,80,1,12353,12353
1479349639,zlog_batch_write_simple,10,1024,80,1,12175,12175
1479349641,zlog_batch_write_simple,10,1024,80,1,11983,11983
1479349643,zlog_batch_write_simple,10,1024,80,1,12353,12353
1479349645,zlog_batch_write_simple,10,1024,80,1,12393,12393
1479349647,zlog_batch_write_simple,10,1024,80,1,12201,12201
1479349649,zlog_batch_write_simple,10,1024,80,1,12275,12275
1479349651,zlog_batch_write_simple,10,1024,80,1,12186,12186
1479349653,zlog_batch_write_simple,10,1024,80,1,12326,12326
1479349655,zlog_batch_write_simple,10,1024,80,1,12268,12268
1479349657,zlog_batch_write_simple,10,1024,80,1,12131,12131
1479349659,zlog_batch_write_simple,10,1024,80,1,12172,12172
1479349661,zlog_batch_write_simple,10,1024,80,1,12353,12353
1479349663,zlog_batch_write_simple,10,1024,80,1,12366,12366
1479349665,zlog_batch_write_simple,10,1024,80,1,12478,12478
1479349667,zlog_batch_write_simple,10,1024,80,1,12219,12219
1479349669,zlog_batch_write_simple,10,1024,80,1,12129,12129
1479349671,zlog_batch_write_simple,10,1024,80,1,12073,12073
1479349673,zlog_batch_write_simple,10,1024,80,1,12087,12087
1479349675,zlog_batch_write_simple,10,1024,80,1,12519,12519
1479349677,zlog_batch_write_simple,10,1024,80,1,12375,12375
1479349679,zlog_batch_write_simple,10,1024,80,1,12419,12419
1479349681,zlog_batch_write_simple,10,1024,80,1,11962,11962
1479349683,zlog_batch_write_simple,10,1024,80,1,12236,12236
1479349685,zlog_batch_write_simple,10,1024,80,1,12222,12222
1479349687,zlog_batch_write_simple,10,1024,80,1,12390,12390
1479349689,zlog_batch_write_simple,10,1024,80,1,12508,12508
1479349691,zlog_batch_write_simple,10,1024,80,1,12491,12491
1479349693,zlog_batch_write_simple,10,1024,80,1,12232,12232
1479349695,zlog_batch_write_simple,10,1024,80,1,12233,12233
1479349697,zlog_batch_write_simple,10,1024,80,1,12366,12366
1479349699,zlog_batch_write_simple,10,1024,80,1,12243,12243
1479349701,zlog_batch_write_simple,10,1024,80,1,12686,12686
1479349703,zlog_batch_write_simple,10,1024,80,1,12524,12524
1479349705,zlog_batch_write_simple,10,1024,80,1,12292,12292
1479349707,zlog_batch_write_simple,10,1024,80,1,12371,12371
1479349709,zlog_batch_write_simple,10,1024,80,1,12680,12680
1479349711,zlog_batch_write_simple,10,1024,80,1,12277,12277
1479349713,zlog_batch_write_simple,10,1024,80,1,12351,12351
1479349715,zlog_batch_write_simple,10,1024,80,1,12566,12566
1479349717,zlog_batch_write_simple,10,1024,80,1,12719,12719
1479349719,zlog_batch_write_simple,10,1024,80,1,12660,12660
1479349721,zlog_batch_write_simple,10,1024,80,1,12652,12652
1479349723,zlog_batch_write_simple,10,1024,80,1,12238,12238
1479349725,zlog_batch_write_simple,10,1024,80,1,12514,12514
1479349727,zlog_batch_write_simple,10,1024,80,1,12308,12308
1479349729,zlog_batch_write_simple,10,1024,80,1,12352,12352
1479349731,zlog_batch_write_simple,10,1024,80,1,12518,12518
1479349733,zlog_batch_write_simple,10,1024,80,1,12618,12618
1479349735,zlog_batch_write_simple,10,1024,80,1,12594,12594
1479349737,zlog_batch_write_simple,10,1024,80,1,12576,12576
1479349739,zlog_batch_write_simple,10,1024,80,1,12487,12487
1479349741,zlog_batch_write_simple,10,1024,80,1,12435,12435
1479349743,zlog_batch_write_simple,10,1024,80,1,12291,12291
1479349745,zlog_batch_write_simple,10,1024,80,1,12274,12274
1479349747,zlog_batch_write_simple,10,1024,80,1,12481,12481
1479349749,zlog_batch_write_simple,10,1024,80,1,12106,12106
1479349751,zlog_batch_write_simple,10,1024,80,1,12473,12473
1479349753,zlog_batch_write_simple,10,1024,80,1,12208,12208
1479349755,zlog_batch_write_simple,10,1024,80,1,12072,12072
1479349757,zlog_batch_write_simple,10,1024,80,1,12316,12316
1479349759,zlog_batch_write_simple,10,1024,80,1,12520,12520
1479349761,zlog_batch_write_simple,10,1024,80,1,12601,12601
1479349763,zlog_batch_write_simple,10,1024,80,1,12500,12500
1479349765,zlog_batch_write_simple,10,1024,80,1,12675,12675
1479349767,zlog_batch_write_simple,10,1024,80,1,12460,12460
1479349769,zlog_batch_write_simple,10,1024,80,1,12092,12092
1479349771,zlog_batch_write_simple,10,1024,80,1,12409,12409
1479349773,zlog_batch_write_simple,10,1024,80,1,12437,12437
1479349775,zlog_batch_write_simple,10,1024,80,1,12048,12048
1479349777,zlog_batch_write_simple,10,1024,80,1,11992,11992
1479349779,zlog_batch_write_simple,10,1024,80,1,12268,12268
1479349781,zlog_batch_write_simple,10,1024,80,1,12334,12334
1479349783,zlog_batch_write_simple,10,1024,80,1,12280,12280
1479349785,zlog_batch_write_simple,10,1024,80,1,11821,11821
1479349787,zlog_batch_write_simple,10,1024,80,1,12437,12437
1479349789,zlog_batch_write_simple,10,1024,80,1,11763,11763
1479349791,zlog_batch_write_simple,10,1024,80,1,12095,12095
1479349793,zlog_batch_write_simple,10,1024,80,1,12441,12441
1479349795,zlog_batch_write_simple,10,1024,80,1,12478,12478
1479349797,zlog_batch_write_simple,10,1024,80,1,12243,12243
1479349799,zlog_batch_write_simple,10,1024,80,1,12277,12277
1479349801,zlog_batch_write_simple,10,1024,80,1,12138,12138
1479349803,zlog_batch_write_simple,10,1024,80,1,12293,12293
1479349805,zlog_batch_write_simple,10,1024,80,1,12249,12249
1479349807,zlog_batch_write_simple,10,1024,80,1,12276,12276
1479349809,zlog_batch_write_simple,10,1024,80,1,12292,12292
1479349811,zlog_batch_write_simple,10,1024,80,1,12089,12089
1479349813,zlog_batch_write_simple,10,1024,80,1,12340,12340
1479349815,zlog_batch_write_simple,10,1024,80,1,11957,11957
1479349817,zlog_batch_write_simple,10,1024,80,1,12489,12489
1479349819,zlog_batch_write_simple,10,1024,80,1,12206,12206
1479349821,zlog_batch_write_simple,10,1024,80,1,12255,12255
1479349823,zlog_batch_write_simple,10,1024,80,1,12003,12003
1479349825,zlog_batch_write_simple,10,1024,80,1,11907,11907
1479349827,zlog_batch_write_simple,10,1024,80,1,12424,12424
1479349829,zlog_batch_write_simple,10,1024,80,1,12387,12387
1479349831,zlog_batch_write_simple,10,1024,80,1,12260,12260
1479349833,zlog_batch_write_simple,10,1024,80,1,12304,12304
1479349835,zlog_batch_write_simple,10,1024,80,1,12359,12359
1479349837,zlog_batch_write_simple,10,1024,80,1,12267,12267
1479349839,zlog_batch_write_simple,10,1024,80,1,12341,12341
1479349841,zlog_batch_write_simple,10,1024,80,1,12379,12379
1479349843,zlog_batch_write_simple,10,1024,80,1,12355,12355
1479349845,zlog_batch_write_simple,10,1024,80,1,12068,12068
1479349847,zlog_batch_write_simple,10,1024,80,1,12443,12443
1479349849,zlog_batch_write_simple,10,1024,80,1,12333,12333
1479349851,zlog_batch_write_simple,10,1024,80,1,12178,12178
1479349853,zlog_batch_write_simple,10,1024,80,1,12364,12364
1479349855,zlog_batch_write_simple,10,1024,80,1,12180,12180
1479349857,zlog_batch_write_simple,10,1024,80,1,12304,12304
1479349859,zlog_batch_write_simple,10,1024,80,1,12124,12124
1479349861,zlog_batch_write_simple,10,1024,80,1,12129,12129
1479349863,zlog_batch_write_simple,10,1024,80,1,12112,12112
1479349865,zlog_batch_write_simple,10,1024,80,1,12304,12304
1479349867,zlog_batch_write_simple,10,1024,80,1,12121,12121
1479349869,zlog_batch_write_simple,10,1024,80,1,12433,12433
1479349871,zlog_batch_write_simple,10,1024,80,1,12187,12187
1479349873,zlog_batch_write_simple,10,1024,80,1,12221,12221
1479349875,zlog_batch_write_simple,10,1024,80,1,12156,12156
1479349877,zlog_batch_write_simple,10,1024,80,1,12322,12322
1479349879,zlog_batch_write_simple,10,1024,80,1,12088,12088
1479349881,zlog_batch_write_simple,10,1024,80,1,12268,12268
1479349883,zlog_batch_write_simple,10,1024,80,1,12216,12216
1479349885,zlog_batch_write_simple,10,1024,80,1,12255,12255
1479349887,zlog_batch_write_simple,10,1024,80,1,12536,12536
1479349889,zlog_batch_write_simple,10,1024,80,1,12095,12095
1479349891,zlog_batch_write_simple,10,1024,80,1,12466,12466
1479349893,zlog_batch_write_simple,10,1024,80,1,12245,12245
1479349895,zlog_batch_write_simple,10,1024,80,1,12514,12514
1479349897,zlog_batch_write_simple,10,1024,80,1,12130,12130
1479349899,zlog_batch_write_simple,10,1024,80,1,12176,12176
1479349901,zlog_batch_write_simple,10,1024,80,1,12339,12339
1479349903,zlog_batch_write_simple,10,1024,80,1,12455,12455
1479349905,zlog_batch_write_simple,10,1024,80,1,12168,12168
1479349907,zlog_batch_write_simple,10,1024,80,1,12338,12338
1479349909,zlog_batch_write_simple,10,1024,80,1,12337,12337
1479349911,zlog_batch_write_simple,10,1024,80,1,12356,12356
1479349913,zlog_batch_write_simple,10,1024,80,1,12103,12103
1479349915,zlog_batch_write_simple,10,1024,80,1,12366,12366
