time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479360212,zlog_batch_write_simple,40,1024,40,5,4759,23799
1479360214,zlog_batch_write_simple,40,1024,40,5,6874,34370
1479360216,zlog_batch_write_simple,40,1024,40,5,6863,34318
1479360218,zlog_batch_write_simple,40,1024,40,5,6973,34869
1479360220,zlog_batch_write_simple,40,1024,40,5,6936,34680
1479360222,zlog_batch_write_simple,40,1024,40,5,6913,34565
1479360224,zlog_batch_write_simple,40,1024,40,5,6958,34792
1479360226,zlog_batch_write_simple,40,1024,40,5,7008,35040
1479360228,zlog_batch_write_simple,40,1024,40,5,6958,34790
1479360230,zlog_batch_write_simple,40,1024,40,5,6847,34235
1479360232,zlog_batch_write_simple,40,1024,40,5,6890,34450
1479360234,zlog_batch_write_simple,40,1024,40,5,7047,35235
1479360236,zlog_batch_write_simple,40,1024,40,5,6956,34783
1479360238,zlog_batch_write_simple,40,1024,40,5,6904,34523
1479360240,zlog_batch_write_simple,40,1024,40,5,6988,34940
1479360242,zlog_batch_write_simple,40,1024,40,5,6935,34675
1479360244,zlog_batch_write_simple,40,1024,40,5,6924,34620
1479360246,zlog_batch_write_simple,40,1024,40,5,6855,34275
1479360248,zlog_batch_write_simple,40,1024,40,5,6887,34435
1479360250,zlog_batch_write_simple,40,1024,40,5,6809,34045
1479360252,zlog_batch_write_simple,40,1024,40,5,6809,34046
1479360254,zlog_batch_write_simple,40,1024,40,5,6821,34105
1479360256,zlog_batch_write_simple,40,1024,40,5,6857,34285
1479360258,zlog_batch_write_simple,40,1024,40,5,6854,34270
1479360260,zlog_batch_write_simple,40,1024,40,5,6793,33965
1479360262,zlog_batch_write_simple,40,1024,40,5,6852,34263
1479360264,zlog_batch_write_simple,40,1024,40,5,6756,33783
1479360266,zlog_batch_write_simple,40,1024,40,5,6827,34137
1479360268,zlog_batch_write_simple,40,1024,40,5,6823,34118
1479360270,zlog_batch_write_simple,40,1024,40,5,6687,33435
1479360272,zlog_batch_write_simple,40,1024,40,5,6779,33895
1479360274,zlog_batch_write_simple,40,1024,40,5,6745,33728
1479360276,zlog_batch_write_simple,40,1024,40,5,6743,33715
1479360278,zlog_batch_write_simple,40,1024,40,5,6712,33560
1479360280,zlog_batch_write_simple,40,1024,40,5,6722,33610
1479360282,zlog_batch_write_simple,40,1024,40,5,6698,33490
1479360284,zlog_batch_write_simple,40,1024,40,5,6641,33208
1479360286,zlog_batch_write_simple,40,1024,40,5,6687,33435
1479360288,zlog_batch_write_simple,40,1024,40,5,6657,33285
1479360290,zlog_batch_write_simple,40,1024,40,5,6714,33570
1479360292,zlog_batch_write_simple,40,1024,40,5,6706,33530
1479360294,zlog_batch_write_simple,40,1024,40,5,6610,33050
1479360296,zlog_batch_write_simple,40,1024,40,5,6704,33524
1479360298,zlog_batch_write_simple,40,1024,40,5,6734,33670
1479360300,zlog_batch_write_simple,40,1024,40,5,6675,33375
1479360302,zlog_batch_write_simple,40,1024,40,5,6654,33273
1479360304,zlog_batch_write_simple,40,1024,40,5,6680,33400
1479360306,zlog_batch_write_simple,40,1024,40,5,6655,33278
1479360308,zlog_batch_write_simple,40,1024,40,5,6669,33345
1479360310,zlog_batch_write_simple,40,1024,40,5,6635,33175
1479360312,zlog_batch_write_simple,40,1024,40,5,6720,33602
1479360314,zlog_batch_write_simple,40,1024,40,5,6612,33060
1479360316,zlog_batch_write_simple,40,1024,40,5,6643,33218
1479360318,zlog_batch_write_simple,40,1024,40,5,6698,33490
1479360320,zlog_batch_write_simple,40,1024,40,5,6704,33523
1479360322,zlog_batch_write_simple,40,1024,40,5,6678,33393
1479360324,zlog_batch_write_simple,40,1024,40,5,6687,33435
1479360326,zlog_batch_write_simple,40,1024,40,5,6662,33313
1479360328,zlog_batch_write_simple,40,1024,40,5,6646,33233
1479360330,zlog_batch_write_simple,40,1024,40,5,6686,33433
1479360332,zlog_batch_write_simple,40,1024,40,5,6601,33008
1479360334,zlog_batch_write_simple,40,1024,40,5,6581,32908
1479360336,zlog_batch_write_simple,40,1024,40,5,6668,33340
1479360338,zlog_batch_write_simple,40,1024,40,5,6765,33828
1479360340,zlog_batch_write_simple,40,1024,40,5,6635,33175
1479360342,zlog_batch_write_simple,40,1024,40,5,6670,33350
1479360344,zlog_batch_write_simple,40,1024,40,5,6744,33720
1479360346,zlog_batch_write_simple,40,1024,40,5,6653,33265
1479360348,zlog_batch_write_simple,40,1024,40,5,6634,33170
1479360350,zlog_batch_write_simple,40,1024,40,5,6738,33693
1479360352,zlog_batch_write_simple,40,1024,40,5,6726,33630
1479360354,zlog_batch_write_simple,40,1024,40,5,6616,33083
1479360356,zlog_batch_write_simple,40,1024,40,5,6654,33270
1479360358,zlog_batch_write_simple,40,1024,40,5,6552,32760
1479360360,zlog_batch_write_simple,40,1024,40,5,6630,33153
1479360362,zlog_batch_write_simple,40,1024,40,5,6569,32848
1479360364,zlog_batch_write_simple,40,1024,40,5,6628,33140
1479360366,zlog_batch_write_simple,40,1024,40,5,6725,33625
1479360368,zlog_batch_write_simple,40,1024,40,5,6701,33505
1479360370,zlog_batch_write_simple,40,1024,40,5,6658,33293
1479360372,zlog_batch_write_simple,40,1024,40,5,6664,33320
1479360374,zlog_batch_write_simple,40,1024,40,5,6648,33240
1479360376,zlog_batch_write_simple,40,1024,40,5,6624,33120
1479360378,zlog_batch_write_simple,40,1024,40,5,6534,32670
1479360380,zlog_batch_write_simple,40,1024,40,5,6661,33305
1479360382,zlog_batch_write_simple,40,1024,40,5,6679,33398
1479360384,zlog_batch_write_simple,40,1024,40,5,6685,33428
1479360386,zlog_batch_write_simple,40,1024,40,5,6726,33630
1479360388,zlog_batch_write_simple,40,1024,40,5,6620,33100
