time,opname,qdepth,esize,nobjs,batchsize,raw_iops,eff_iops
1479348956,zlog_batch_write_simple,10,1024,40,10,2630,26304
1479348958,zlog_batch_write_simple,10,1024,40,10,3650,36506
1479348960,zlog_batch_write_simple,10,1024,40,10,3994,39942
1479348962,zlog_batch_write_simple,10,1024,40,10,4105,41052
1479348964,zlog_batch_write_simple,10,1024,40,10,4030,40302
1479348966,zlog_batch_write_simple,10,1024,40,10,4124,41247
1479348968,zlog_batch_write_simple,10,1024,40,10,4084,40842
1479348970,zlog_batch_write_simple,10,1024,40,10,4130,41302
1479348972,zlog_batch_write_simple,10,1024,40,10,4101,41012
1479348974,zlog_batch_write_simple,10,1024,40,10,4121,41216
1479348976,zlog_batch_write_simple,10,1024,40,10,4109,41097
1479348978,zlog_batch_write_simple,10,1024,40,10,4029,40292
1479348980,zlog_batch_write_simple,10,1024,40,10,4072,40722
1479348982,zlog_batch_write_simple,10,1024,40,10,4086,40867
1479348984,zlog_batch_write_simple,10,1024,40,10,4103,41037
1479348986,zlog_batch_write_simple,10,1024,40,10,4088,40887
1479348988,zlog_batch_write_simple,10,1024,40,10,4051,40517
1479348990,zlog_batch_write_simple,10,1024,40,10,4102,41022
1479348992,zlog_batch_write_simple,10,1024,40,10,4030,40307
1479348994,zlog_batch_write_simple,10,1024,40,10,4039,40397
1479348996,zlog_batch_write_simple,10,1024,40,10,4101,41012
1479348998,zlog_batch_write_simple,10,1024,40,10,4016,40162
1479349000,zlog_batch_write_simple,10,1024,40,10,4028,40287
1479349002,zlog_batch_write_simple,10,1024,40,10,4041,40417
1479349004,zlog_batch_write_simple,10,1024,40,10,3975,39758
1479349006,zlog_batch_write_simple,10,1024,40,10,4027,40277
1479349008,zlog_batch_write_simple,10,1024,40,10,3935,39352
1479349010,zlog_batch_write_simple,10,1024,40,10,4009,40092
1479349012,zlog_batch_write_simple,10,1024,40,10,3979,39797
1479349014,zlog_batch_write_simple,10,1024,40,10,3963,39637
1479349016,zlog_batch_write_simple,10,1024,40,10,3990,39903
1479349018,zlog_batch_write_simple,10,1024,40,10,3964,39643
1479349020,zlog_batch_write_simple,10,1024,40,10,3943,39437
1479349022,zlog_batch_write_simple,10,1024,40,10,3931,39317
1479349024,zlog_batch_write_simple,10,1024,40,10,3899,38998
1479349026,zlog_batch_write_simple,10,1024,40,10,3896,38962
1479349028,zlog_batch_write_simple,10,1024,40,10,3848,38483
1479349030,zlog_batch_write_simple,10,1024,40,10,3848,38487
1479349032,zlog_batch_write_simple,10,1024,40,10,3869,38692
1479349034,zlog_batch_write_simple,10,1024,40,10,3815,38153
1479349036,zlog_batch_write_simple,10,1024,40,10,3919,39198
1479349038,zlog_batch_write_simple,10,1024,40,10,3953,39537
1479349040,zlog_batch_write_simple,10,1024,40,10,3876,38767
1479349042,zlog_batch_write_simple,10,1024,40,10,3853,38538
1479349044,zlog_batch_write_simple,10,1024,40,10,3852,38523
1479349046,zlog_batch_write_simple,10,1024,40,10,3877,38778
1479349048,zlog_batch_write_simple,10,1024,40,10,3883,38838
1479349050,zlog_batch_write_simple,10,1024,40,10,3885,38852
1479349052,zlog_batch_write_simple,10,1024,40,10,3833,38337
1479349054,zlog_batch_write_simple,10,1024,40,10,3900,39007
1479349056,zlog_batch_write_simple,10,1024,40,10,3888,38882
1479349058,zlog_batch_write_simple,10,1024,40,10,3862,38628
1479349060,zlog_batch_write_simple,10,1024,40,10,3909,39098
1479349062,zlog_batch_write_simple,10,1024,40,10,3898,38983
1479349064,zlog_batch_write_simple,10,1024,40,10,3810,38103
1479349066,zlog_batch_write_simple,10,1024,40,10,3603,36032
1479349068,zlog_batch_write_simple,10,1024,40,10,3841,38412
1479349070,zlog_batch_write_simple,10,1024,40,10,3912,39127
1479349072,zlog_batch_write_simple,10,1024,40,10,3878,38787
1479349074,zlog_batch_write_simple,10,1024,40,10,3866,38663
1479349076,zlog_batch_write_simple,10,1024,40,10,3644,36442
1479349078,zlog_batch_write_simple,10,1024,40,10,3856,38567
1479349080,zlog_batch_write_simple,10,1024,40,10,3850,38507
1479349082,zlog_batch_write_simple,10,1024,40,10,3798,37982
1479349084,zlog_batch_write_simple,10,1024,40,10,3878,38787
1479349086,zlog_batch_write_simple,10,1024,40,10,3896,38962
1479349088,zlog_batch_write_simple,10,1024,40,10,3492,34928
1479349090,zlog_batch_write_simple,10,1024,40,10,3812,38122
1479349092,zlog_batch_write_simple,10,1024,40,10,3893,38937
1479349094,zlog_batch_write_simple,10,1024,40,10,3837,38372
1479349096,zlog_batch_write_simple,10,1024,40,10,3803,38037
1479349098,zlog_batch_write_simple,10,1024,40,10,3891,38918
1479349100,zlog_batch_write_simple,10,1024,40,10,3852,38522
1479349102,zlog_batch_write_simple,10,1024,40,10,3827,38273
1479349104,zlog_batch_write_simple,10,1024,40,10,3829,38297
1479349106,zlog_batch_write_simple,10,1024,40,10,3899,38997
1479349108,zlog_batch_write_simple,10,1024,40,10,3861,38613
1479349110,zlog_batch_write_simple,10,1024,40,10,3860,38608
1479349112,zlog_batch_write_simple,10,1024,40,10,3894,38947
1479349114,zlog_batch_write_simple,10,1024,40,10,3822,38222
1479349116,zlog_batch_write_simple,10,1024,40,10,3844,38442
1479349118,zlog_batch_write_simple,10,1024,40,10,3880,38807
1479349120,zlog_batch_write_simple,10,1024,40,10,3810,38107
1479349122,zlog_batch_write_simple,10,1024,40,10,3908,39087
1479349124,zlog_batch_write_simple,10,1024,40,10,3864,38643
1479349126,zlog_batch_write_simple,10,1024,40,10,3856,38562
1479349128,zlog_batch_write_simple,10,1024,40,10,3851,38512
1479349130,zlog_batch_write_simple,10,1024,40,10,3821,38217
1479349132,zlog_batch_write_simple,10,1024,40,10,3769,37693
1479349134,zlog_batch_write_simple,10,1024,40,10,3859,38598
1479349136,zlog_batch_write_simple,10,1024,40,10,3885,38852
1479349138,zlog_batch_write_simple,10,1024,40,10,3858,38587
1479349140,zlog_batch_write_simple,10,1024,40,10,3902,39027
